$Tacheo; Xlocal (m); Ylocal (m); Zlocal (m); Hz (rad); V (rad); di (m); False T_GNSS (s)
OR
$GNSS; lat (degrees); lon (degrees); alt_ellips (m); True T_GNSS (s); Xmn95; Ymn95; H RAN95 
$Tacheo;972.7755;1966.7707;3006.7955;3.827986;1.413905;43.4947;44026.266
$Tacheo;972.8030;1966.7351;3006.7741;3.826967;1.414429;43.5014;44026.372
$Tacheo;972.8298;1966.7067;3006.7613;3.826066;1.414736;43.5044;44026.477
$GNSS;46.77985830;6.66120352;505.455;44026.500;2540629.459;1181260.166;455.687
$Tacheo;972.8275;1966.7061;3006.7553;3.826097;1.414880;43.5053;44026.555
$Tacheo;972.8577;1966.6783;3006.7415;3.825144;1.415203;43.5056;44026.663
$Tacheo;972.8726;1966.6681;3006.7421;3.824726;1.415183;43.5042;44026.770
$Tacheo;972.8998;1966.6525;3006.7434;3.824005;1.415135;43.4994;44026.877
$Tacheo;972.9121;1966.6455;3006.7444;3.823680;1.415105;43.4973;44026.982
$GNSS;46.77985820;6.66120504;505.331;44027.000;2540629.575;1181260.153;455.563
$Tacheo;972.9194;1966.6406;3006.7455;3.823477;1.415076;43.4967;44027.048
$Tacheo;972.9420;1966.6289;3006.7429;3.822897;1.415118;43.4911;44027.154
$Tacheo;972.9544;1966.6223;3006.7383;3.822577;1.415212;43.4878;44027.260
$Tacheo;972.9683;1966.6172;3006.7325;3.822251;1.415326;43.4822;44027.365
$Tacheo;972.9725;1966.6192;3006.7356;3.822204;1.415242;43.4785;44027.476
$GNSS;46.77985898;6.66120579;505.382;44027.500;2540629.633;1181260.240;455.614
$Tacheo;972.9745;1966.6210;3006.7405;3.822194;1.415120;43.4767;44027.548
$Tacheo;972.9751;1966.6228;3006.7429;3.822209;1.415060;43.4752;44027.651
$Tacheo;972.9739;1966.6248;3006.7475;3.822261;1.414952;43.4752;44027.744
$Tacheo;972.9719;1966.6270;3006.7525;3.822329;1.414837;43.4755;44027.851
$Tacheo;972.9620;1966.6321;3006.7588;3.822582;1.414703;43.4787;44027.959
$GNSS;46.77985877;6.66120526;505.413;44028.000;2540629.593;1181260.217;455.645
$Tacheo;972.9519;1966.6353;3006.7577;3.822812;1.414741;43.4824;44028.037
$Tacheo;972.9315;1966.6378;3006.7520;3.823217;1.414909;43.4923;44028.132
$Tacheo;972.9152;1966.6385;3006.7498;3.823522;1.414995;43.5015;44028.238
$Tacheo;972.8962;1966.6365;3006.7475;3.823837;1.415094;43.5146;44028.343
$Tacheo;972.8639;1966.6325;3006.7420;3.824360;1.415302;43.5369;44028.451
$GNSS;46.77985886;6.66120440;505.424;44028.500;2540629.527;1181260.227;455.656
$Tacheo;972.8367;1966.6304;3006.7405;3.824820;1.415403;43.5552;44028.541
$Tacheo;972.7988;1966.6259;3006.7396;3.825437;1.415522;43.5822;44028.643
$Tacheo;972.7749;1966.6221;3006.7419;3.825811;1.415534;43.6004;44028.733
$Tacheo;972.7500;1966.6230;3006.7434;3.826272;1.415554;43.6155;44028.840
$Tacheo;972.7143;1966.6268;3006.7505;3.826968;1.415463;43.6360;44028.946
$GNSS;46.77985668;6.66120314;505.426;44029.000;2540629.428;1181259.986;455.658
$Tacheo;972.6949;1966.6322;3006.7591;3.827397;1.415297;43.6453;44029.043
$Tacheo;972.6664;1966.6449;3006.7714;3.828095;1.415048;43.6554;44029.150
$Tacheo;972.6375;1966.6629;3006.7778;3.828879;1.414917;43.6607;44029.254
$Tacheo;972.6299;1966.6685;3006.7793;3.829096;1.414885;43.6614;44029.351
$Tacheo;972.5984;1966.6943;3006.7845;3.830040;1.414769;43.6623;44029.463
$GNSS;46.77985657;6.66120130;505.449;44029.500;2540629.288;1181259.975;455.681
$Tacheo;972.5908;1966.7010;3006.7814;3.830274;1.414838;43.6615;44029.551
$Tacheo;972.5599;1966.7199;3006.7588;3.831106;1.415367;43.6630;44029.660
$Tacheo;972.5462;1966.7264;3006.7456;3.831447;1.415679;43.6646;44029.767
$Tacheo;972.5350;1966.7299;3006.7302;3.831699;1.416042;43.6666;44029.873
$Tacheo;972.5213;1966.7332;3006.7076;3.831994;1.416576;43.6692;44029.980
$GNSS;46.77985647;6.66119989;505.460;44030.000;2540629.180;1181259.965;455.692
$Tacheo;972.5179;1966.7340;3006.7000;3.832067;1.416752;43.6696;44030.048
$Tacheo;972.5117;1966.7349;3006.6842;3.832189;1.417123;43.6704;44030.155
$Tacheo;972.5064;1966.7356;3006.6693;3.832295;1.417469;43.6709;44030.263
$Tacheo;972.5080;1966.7339;3006.6648;3.832241;1.417571;43.6705;44030.369
$Tacheo;972.5200;1966.7278;3006.6623;3.831937;1.417617;43.6672;44030.479
$GNSS;46.77985597;6.66120014;505.333;44030.500;2540629.199;1181259.909;455.565
$Tacheo;972.5241;1966.7261;3006.6607;3.831837;1.417650;43.6657;44030.539
$Tacheo;972.5330;1966.7207;3006.6541;3.831599;1.417793;43.6632;44030.633
$Tacheo;972.5471;1966.7149;3006.6425;3.831261;1.418040;43.6570;44030.726
$Tacheo;972.5550;1966.7109;3006.6327;3.831061;1.418256;43.6536;44030.830
$Tacheo;972.5648;1966.7034;3006.6102;3.830776;1.418763;43.6497;44030.938
$GNSS;46.77985683;6.66120062;505.307;44031.000;2540629.236;1181260.005;455.539
$Tacheo;972.5730;1966.6973;3006.5967;3.830540;1.419069;43.6472;44031.043
$Tacheo;972.5796;1966.6909;3006.5819;3.830327;1.419406;43.6457;44031.148
$Tacheo;972.5915;1966.6804;3006.5590;3.829960;1.419926;43.6428;44031.254
$Tacheo;972.5948;1966.6767;3006.5457;3.829846;1.420231;43.6415;44031.361
$Tacheo;972.6074;1966.6668;3006.5229;3.829475;1.420746;43.6378;44031.470
$GNSS;46.77985673;6.66120180;505.230;44031.500;2540629.326;1181259.993;455.462
$Tacheo;972.6097;1966.6652;3006.5172;3.829410;1.420875;43.6367;44031.550
$Tacheo;972.6157;1966.6614;3006.5093;3.829247;1.421051;43.6347;44031.656
$Tacheo;972.6228;1966.6554;3006.5067;3.829031;1.421110;43.6344;44031.760
$Tacheo;972.6265;1966.6502;3006.5017;3.828888;1.421229;43.6353;44031.872
$Tacheo;972.6329;1966.6398;3006.4765;3.828621;1.421814;43.6355;44031.978
$GNSS;46.77985663;6.66120173;505.150;44032.000;2540629.321;1181259.981;455.382
$Tacheo;972.6329;1966.6382;3006.4686;3.828597;1.421997;43.6355;44032.055
$Tacheo;972.6326;1966.6379;3006.4525;3.828599;1.422364;43.6336;44032.161
$Tacheo;972.6331;1966.6432;3006.4481;3.828668;1.422447;43.6286;44032.268
$Tacheo;972.6329;1966.6486;3006.4475;3.828750;1.422448;43.6245;44032.375
$Tacheo;972.6324;1966.6541;3006.4482;3.828841;1.422418;43.6207;44032.480
$GNSS;46.77985657;6.66120235;505.071;44032.500;2540629.368;1181259.974;455.303
$Tacheo;972.6316;1966.6591;3006.4467;3.828928;1.422440;43.6171;44032.539
$Tacheo;972.6297;1966.6645;3006.4459;3.829040;1.422450;43.6141;44032.631
$Tacheo;972.6272;1966.6691;3006.4454;3.829154;1.422453;43.6121;44032.737
$Tacheo;972.6230;1966.6745;3006.4461;3.829309;1.422434;43.6107;44032.843
$Tacheo;972.6196;1966.6772;3006.4468;3.829409;1.422417;43.6108;44032.948
$GNSS;46.77985672;6.66120199;505.093;44033.000;2540629.341;1181259.991;455.325
$Tacheo;972.6153;1966.6802;3006.4478;3.829531;1.422396;43.6114;44033.050
$Tacheo;972.6086;1966.6831;3006.4485;3.829692;1.422386;43.6135;44033.155
$Tacheo;972.6046;1966.6845;3006.4455;3.829784;1.422459;43.6145;44033.261
$Tacheo;972.5968;1966.6868;3006.4379;3.829959;1.422643;43.6165;44033.363
$Tacheo;972.5934;1966.6873;3006.4318;3.830027;1.422787;43.6174;44033.456
$GNSS;46.77985653;6.66120161;505.123;44033.500;2540629.311;1181259.970;455.355
$Tacheo;972.5873;1966.6910;3006.4247;3.830190;1.422952;43.6173;44033.547
$Tacheo;972.5776;1966.6985;3006.4029;3.830476;1.423448;43.6145;44033.653
$Tacheo;972.5734;1966.7020;3006.3974;3.830602;1.423572;43.6137;44033.751
$Tacheo;972.5624;1966.7114;3006.3754;3.830938;1.424070;43.6102;44033.854
$Tacheo;972.5601;1966.7141;3006.3711;3.831018;1.424165;43.6089;44033.953
$GNSS;46.77985660;6.66120123;505.082;44034.000;2540629.282;1181259.978;455.314
$Tacheo;972.5542;1966.7213;3006.3654;3.831230;1.424289;43.6063;44034.050
$Tacheo;972.5481;1966.7314;3006.3629;3.831488;1.424332;43.6021;44034.156
$Tacheo;972.5403;1966.7414;3006.3588;3.831775;1.424416;43.5988;44034.261
$Tacheo;972.5369;1966.7451;3006.3568;3.831890;1.424460;43.5978;44034.359
$Tacheo;972.5262;1966.7556;3006.3528;3.832237;1.424546;43.5960;44034.466
$GNSS;46.77985660;6.66120070;505.016;44034.500;2540629.242;1181259.979;455.248
$Tacheo;972.5147;1966.7642;3006.3505;3.832569;1.424600;43.5963;44034.539
$Tacheo;972.5018;1966.7731;3006.3469;3.832931;1.424687;43.5972;44034.635
$Tacheo;972.4868;1966.7826;3006.3448;3.833340;1.424742;43.5991;44034.744
$Tacheo;972.4760;1966.7863;3006.3419;3.833587;1.424822;43.6027;44034.851
$Tacheo;972.4666;1966.7902;3006.3388;3.833812;1.424902;43.6052;44034.956
$GNSS;46.77985602;6.66119979;505.002;44035.000;2540629.172;1181259.915;455.234
$Tacheo;972.4536;1966.7945;3006.3460;3.834108;1.424755;43.6111;44035.048
$Tacheo;972.4485;1966.7954;3006.3542;3.834212;1.424577;43.6149;44035.156
$Tacheo;972.4471;1966.7930;3006.3666;3.834200;1.424305;43.6194;44035.264
$Tacheo;972.4528;1966.7887;3006.3783;3.834036;1.424038;43.6208;44035.368
$Tacheo;972.4766;1966.7707;3006.3996;3.833345;1.423551;43.6226;44035.475
$GNSS;46.77985622;6.66119897;505.014;44035.500;2540629.109;1181259.938;455.246
$Tacheo;972.4927;1966.7590;3006.4080;3.832885;1.423356;43.6226;44035.544
$Tacheo;972.5751;1966.6975;3006.4372;3.830505;1.422678;43.6219;44035.652
$Tacheo;972.6027;1966.6761;3006.4431;3.829696;1.422540;43.6218;44035.748
$Tacheo;972.6714;1966.6220;3006.4529;3.827668;1.422313;43.6215;44035.852
$GNSS;46.77985507;6.66120103;505.083;44036.000;2540629.266;1181259.809;455.315
$Tacheo;972.9429;1966.4024;3006.4733;3.819574;1.421848;43.6238;44036.048
$Tacheo;973.0826;1966.2872;3006.4819;3.815378;1.421661;43.6276;44036.156
$Tacheo;973.5113;1965.9377;3006.5410;3.802558;1.420353;43.6455;44036.261
$Tacheo;973.6472;1965.8232;3006.5944;3.798444;1.419168;43.6607;44036.358
$Tacheo;974.0703;1965.4900;3006.6691;3.785968;1.417508;43.6809;44036.467
$GNSS;46.77985919;6.66122086;505.242;44036.500;2540630.784;1181260.252;455.474
$Tacheo;974.2182;1965.3631;3006.7593;3.781465;1.415515;43.7076;44036.540
$Tacheo;974.5404;1965.1034;3006.8582;3.771891;1.413344;43.7407;44036.633
$Tacheo;974.8136;1964.8610;3006.9980;3.763482;1.410321;43.7987;44036.739
$Tacheo;975.0966;1964.6191;3007.0839;3.754909;1.408510;43.8454;44036.845
$Tacheo;975.3967;1964.3619;3007.1602;3.745824;1.406939;43.8967;44036.953
$GNSS;46.77986276;6.66125290;505.726;44037.000;2540633.235;1181260.624;455.958
$Tacheo;975.8513;1963.9641;3007.2405;3.731989;1.405409;43.9821;44037.052
$Tacheo;976.1681;1963.6854;3007.2794;3.722358;1.404751;44.0449;44037.158
$Tacheo;976.8479;1963.0899;3007.3261;3.701814;1.404211;44.1849;44037.269
$Tacheo;977.1969;1962.7839;3007.3388;3.691314;1.404212;44.2621;44037.375
$Tacheo;977.5672;1962.4588;3007.3479;3.680209;1.404334;44.3489;44037.481
$GNSS;46.77986686;6.66128874;506.266;44037.500;2540635.977;1181261.053;456.498
$Tacheo;977.9582;1962.1225;3007.3537;3.668615;1.404544;44.4397;44037.548
$Tacheo;978.5677;1961.5955;3007.3631;3.650609;1.404916;44.5952;44037.653
$Tacheo;978.9929;1961.2331;3007.3711;3.638182;1.405155;44.7076;44037.760
$Tacheo;979.4101;1960.8742;3007.3798;3.626019;1.405405;44.8274;44037.865
$Tacheo;979.8443;1960.4986;3007.3895;3.613408;1.405682;44.9609;44037.973
$GNSS;46.77987218;6.66133218;506.285;44038.000;2540639.300;1181261.611;456.517
$Tacheo;980.5469;1959.9047;3007.4063;3.593308;1.406111;45.1794;44038.047
$Tacheo;980.9975;1959.5194;3007.4193;3.580480;1.406385;45.3331;44038.153
$Tacheo;981.9427;1958.7031;3007.4449;3.553797;1.407098;45.6859;44038.256
$Tacheo;982.1686;1958.5094;3007.4498;3.547496;1.407304;45.7734;44038.355
$Tacheo;983.1894;1957.6485;3007.4692;3.519449;1.408320;46.1770;44038.466
$GNSS;46.77987768;6.66138338;506.079;44038.500;2540643.216;1181262.184;456.311
$Tacheo;983.4455;1957.4257;3007.4746;3.512440;1.408602;46.2901;44038.545
$Tacheo;984.0079;1956.9606;3007.4850;3.497353;1.409198;46.5236;44038.647
$Tacheo;984.8441;1956.2677;3007.5015;3.475201;1.410118;46.8911;44038.741
$Tacheo;985.4338;1955.7967;3007.5173;3.459914;1.410660;47.1477;44038.847
$Tacheo;986.0296;1955.3228;3007.5551;3.444657;1.410779;47.4194;44038.952
$GNSS;46.77988513;6.66144116;506.235;44039.000;2540647.636;1181262.968;456.467
$Tacheo;986.9657;1954.6142;3007.6715;3.421255;1.409742;47.8426;44039.041
$Tacheo;987.5861;1954.1531;3007.7944;3.406020;1.408145;48.1363;44039.132
$Tacheo;988.5694;1953.4517;3008.0505;3.382392;1.404390;48.6058;44039.225
$Tacheo;989.2223;1952.9884;3008.2614;3.366955;1.401156;48.9369;44039.331
$Tacheo;989.8971;1952.5250;3008.4910;3.351270;1.397613;49.2784;44039.438
$Tacheo;990.8674;1951.8463;3008.8007;3.329022;1.393128;49.7992;44039.541
$GNSS;46.77989658;6.66150431;506.804;44039.500;2540652.471;1181264.193;457.036
$Tacheo;991.1796;1951.6279;3008.8882;3.321955;1.391961;49.9699;44039.547
$Tacheo;991.8760;1951.1571;3009.0488;3.306413;1.390039;50.3373;44039.640
$Tacheo;992.8610;1950.4637;3009.2200;3.284724;1.388617;50.8936;44039.744
$Tacheo;993.8153;1949.7962;3009.3215;3.264167;1.388561;51.4384;44039.852
$Tacheo;994.4858;1949.3333;3009.3628;3.249999;1.389115;51.8222;44039.957
$GNSS;46.77990927;6.66156666;508.222;44040.000;2540657.247;1181265.556;458.454
$Tacheo;994.8368;1949.0936;3009.3783;3.242673;1.389523;52.0234;44040.050
$Tacheo;996.1379;1948.2246;3009.4130;3.216048;1.391444;52.7691;44040.157
$Tacheo;996.8169;1947.7719;3009.4235;3.202464;1.392611;53.1703;44040.263
$Tacheo;997.8765;1947.0947;3009.4026;3.181708;1.395046;53.7798;44040.369
$Tacheo;998.5321;1946.6843;3009.3930;3.169118;1.396473;54.1603;44040.475
$GNSS;46.77992219;6.66162695;508.755;44040.500;2540661.865;1181266.947;458.987
$Tacheo;998.8588;1946.4745;3009.3903;3.162910;1.397166;54.3585;44040.550
$Tacheo;999.4677;1946.0793;3009.3878;3.151464;1.398429;54.7380;44040.654
$Tacheo;1000.3262;1945.5319;3009.3810;3.135603;1.400243;55.2746;44040.757
$Tacheo;1000.8376;1945.2107;3009.3764;3.126306;1.401323;55.5958;44040.865
$Tacheo;1001.5704;1944.7522;3009.3732;3.113175;1.402806;56.0630;44040.972
$GNSS;46.77993345;6.66168061;508.094;44041.000;2540665.975;1181268.158;458.326
$Tacheo;1002.2271;1944.3381;3009.3707;3.101602;1.404140;56.4928;44041.060
$Tacheo;1002.8470;1943.9425;3009.3672;3.090849;1.405435;56.9098;44041.165
$Tacheo;1003.2341;1943.6975;3009.3668;3.084215;1.406207;57.1717;44041.272
$Tacheo;1003.5847;1943.4726;3009.3672;3.078263;1.406901;57.4141;44041.378
$Tacheo;1004.0855;1943.1528;3009.3628;3.069848;1.407973;57.7616;44041.485
$GNSS;46.77994038;6.66171175;508.006;44041.500;2540668.361;1181268.905;458.238
$Tacheo;1004.3897;1942.9516;3009.3605;3.064797;1.408637;57.9815;44041.552
$Tacheo;1004.8174;1942.6744;3009.3555;3.057754;1.409581;58.2873;44041.658
$Tacheo;1005.0745;1942.4972;3009.3551;3.053573;1.410133;58.4833;44041.760
$Tacheo;1005.3145;1942.3368;3009.3534;3.049688;1.410656;58.6620;44041.870
$Tacheo;1005.6317;1942.1193;3009.3504;3.044599;1.411374;58.9048;44041.974
$GNSS;46.77994421;6.66173291;508.048;44042.000;2540669.981;1181269.314;458.280
$Tacheo;1005.8217;1941.9878;3009.3465;3.041574;1.411842;59.0519;44042.047
$Tacheo;1005.9888;1941.8687;3009.3423;3.038933;1.412274;59.1849;44042.140
$Tacheo;1006.1364;1941.7606;3009.3366;3.036615;1.412695;59.3053;44042.246
$Tacheo;1006.2646;1941.6640;3009.3300;3.034615;1.413095;59.4125;44042.350
$Tacheo;1006.3674;1941.5784;3009.3257;3.033030;1.413421;59.5068;44042.458
$GNSS;46.77994614;6.66174464;507.969;44042.500;2540670.879;1181269.520;458.201
$Tacheo;1006.4880;1941.4679;3009.3247;3.031199;1.413760;59.6282;44042.554
$Tacheo;1006.5726;1941.3781;3009.3251;3.029941;1.414012;59.7257;44042.658
$Tacheo;1006.6184;1941.3242;3009.3231;3.029271;1.414198;59.7833;44042.750
$Tacheo;1006.6732;1941.2559;3009.3170;3.028480;1.414493;59.8555;44042.864
$Tacheo;1006.7172;1941.1947;3009.3098;3.027858;1.414782;59.9194;44042.969
$GNSS;46.77994518;6.66174722;507.977;44043.000;2540671.075;1181269.411;458.209
$Tacheo;1006.7322;1941.1781;3009.3079;3.027638;1.414860;59.9370;44043.041
$Tacheo;1006.7592;1941.1494;3009.3080;3.027241;1.414941;59.9683;44043.134
$Tacheo;1006.7872;1941.1266;3009.3090;3.026815;1.414991;59.9940;44043.239
$Tacheo;1006.8260;1941.1003;3009.3176;3.026216;1.414929;60.0255;44043.346
$Tacheo;1006.8507;1941.0872;3009.3286;3.025827;1.414788;60.0429;44043.452
$GNSS;46.77994502;6.66174802;507.963;44043.500;2540671.136;1181269.393;458.195
$Tacheo;1006.8915;1941.0692;3009.3467;3.025179;1.414549;60.0680;44043.546
$Tacheo;1006.9169;1941.0617;3009.3568;3.024769;1.414410;60.0799;44043.650
$Tacheo;1006.9527;1941.0529;3009.3621;3.024187;1.414357;60.0935;44043.742
$Tacheo;1006.9723;1941.0497;3009.3604;3.023865;1.414399;60.0986;44043.848
$Tacheo;1006.9938;1941.0507;3009.3571;3.023503;1.414456;60.0996;44043.957
$GNSS;46.77994634;6.66174842;508.047;44044.000;2540671.168;1181269.539;458.279
$Tacheo;1007.0233;1941.0569;3009.3486;3.022998;1.414589;60.0957;44044.050
$Tacheo;1007.0480;1941.0652;3009.3413;3.022568;1.414696;60.0893;44044.157
$Tacheo;1007.0905;1941.0883;3009.3168;3.021811;1.415053;60.0678;44044.266
$Tacheo;1007.1137;1941.1029;3009.3006;3.021393;1.415289;60.0537;44044.371
$Tacheo;1007.1511;1941.1300;3009.2708;3.020712;1.415722;60.0270;44044.478
$GNSS;46.77994742;6.66174841;508.018;44044.500;2540671.168;1181269.659;458.250
$Tacheo;1007.1662;1941.1403;3009.2599;3.020439;1.415879;60.0170;44044.548
$Tacheo;1007.2052;1941.1734;3009.2308;3.019717;1.416286;59.9847;44044.653
$Tacheo;1007.2344;1941.1977;3009.2137;3.019178;1.416515;59.9618;44044.748
$Tacheo;1007.2640;1941.2223;3009.1998;3.018632;1.416691;59.9391;44044.852
$Tacheo;1007.2922;1941.2474;3009.1876;3.018107;1.416837;59.9160;44044.959
$GNSS;46.77994954;6.66174805;507.869;44045.000;2540671.143;1181269.895;458.101
$Tacheo;1007.3364;1941.2847;3009.1747;3.017288;1.416970;59.8829;44045.045
$Tacheo;1007.3734;1941.3103;3009.1664;3.016614;1.417053;59.8610;44045.150
$Tacheo;1007.4064;1941.3404;3009.1540;3.015997;1.417193;59.8337;44045.257
$Tacheo;1007.4325;1941.3622;3009.1486;3.015512;1.417235;59.8147;44045.364
$Tacheo;1007.4786;1941.4033;3009.1372;3.014651;1.417333;59.7784;44045.473
$GNSS;46.77995168;6.66174850;507.774;44045.500;2540671.180;1181270.133;458.006
$Tacheo;1007.4897;1941.4145;3009.1362;3.014441;1.417325;59.7687;44045.553
$Tacheo;1007.5212;1941.4494;3009.1309;3.013836;1.417335;59.7376;44045.660
$Tacheo;1007.5392;1941.4714;3009.1310;3.013486;1.417283;59.7183;44045.754
$Tacheo;1007.5622;1941.5022;3009.1337;3.013032;1.417167;59.6915;44045.861
$Tacheo;1007.5844;1941.5291;3009.1382;3.012601;1.417032;59.6686;44045.969
$GNSS;46.77995312;6.66174808;507.760;44046.000;2540671.149;1181270.293;457.992
$Tacheo;1007.6052;1941.4618;3009.0573;3.012397;1.418549;59.7249;44046.061
$GNSS;46.77995381;6.66174796;507.803;44046.500;2540671.141;1181270.370;458.035
$Tacheo;1007.6043;1941.4560;3009.0522;3.012426;1.418648;59.7297;44046.548
$GNSS;46.77995268;6.66174813;507.783;44047.000;2540671.152;1181270.244;458.015
$Tacheo;1007.5994;1941.4501;3009.0479;3.012520;1.418731;59.7342;44047.051
$Tacheo;1007.6013;1941.4360;3009.0415;3.012519;1.418874;59.7473;44047.157
$Tacheo;1007.5998;1941.4274;3009.0418;3.012563;1.418890;59.7556;44047.261
$Tacheo;1007.5974;1941.4150;3009.0444;3.012630;1.418877;59.7678;44047.366
$Tacheo;1007.5952;1941.4075;3009.0470;3.012684;1.418852;59.7753;44047.474
$GNSS;46.77995210;6.66174966;507.680;44047.500;2540671.269;1181270.179;457.912
$Tacheo;1007.5936;1941.4039;3009.0473;3.012718;1.418856;59.7787;44047.548
$Tacheo;1007.5843;1941.3929;3009.0482;3.012898;1.418865;59.7884;44047.652
$Tacheo;1007.5780;1941.3858;3009.0481;3.013020;1.418883;59.7946;44047.742
$Tacheo;1007.5726;1941.3792;3009.0453;3.013124;1.418944;59.7999;44047.847
$Tacheo;1007.5627;1941.3701;3009.0378;3.013311;1.419088;59.8065;44047.938
$Tacheo;1007.5576;1941.3661;3009.0348;3.013405;1.419146;59.8093;44048.046
$GNSS;46.77995160;6.66174954;507.710;44048.000;2540671.259;1181270.123;457.942
$Tacheo;1007.5534;1941.3631;3009.0325;3.013481;1.419190;59.8113;44048.049
$Tacheo;1007.5507;1941.3617;3009.0300;3.013530;1.419233;59.8120;44048.154
$Tacheo;1007.5489;1941.3613;3009.0288;3.013561;1.419254;59.8120;44048.262
$Tacheo;1007.5434;1941.3608;3009.0230;3.013654;1.419350;59.8109;44048.370
$Tacheo;1007.5397;1941.3600;3009.0156;3.013719;1.419472;59.8101;44048.476
$GNSS;46.77995156;6.66174949;507.716;44048.500;2540671.255;1181270.119;457.948
$Tacheo;1007.5343;1941.3592;3009.0102;3.013811;1.419562;59.8094;44048.544
$Tacheo;1007.5289;1941.3575;3009.0021;3.013904;1.419698;59.8092;44048.654
$Tacheo;1007.5205;1941.3558;3009.0017;3.014049;1.419706;59.8097;44048.757
$Tacheo;1007.5124;1941.3552;3008.9981;3.014186;1.419765;59.8087;44048.849
$Tacheo;1007.5075;1941.3554;3008.9950;3.014268;1.419815;59.8075;44048.956
$GNSS;46.77995144;6.66174947;507.681;44049.000;2540671.253;1181270.106;457.913
$Tacheo;1007.5049;1941.3558;3008.9941;3.014311;1.419828;59.8066;44049.050
$Tacheo;1007.4962;1941.3580;3008.9924;3.014453;1.419847;59.8031;44049.156
$Tacheo;1007.4907;1941.3608;3008.9948;3.014538;1.419798;59.8000;44049.261
$Tacheo;1007.4881;1941.3636;3009.0001;3.014576;1.419703;59.7978;44049.369
$Tacheo;1007.4880;1941.3643;3009.0020;3.014576;1.419670;59.7973;44049.477
$GNSS;46.77995116;6.66174907;507.668;44049.500;2540671.223;1181270.075;457.900
$Tacheo;1007.4888;1941.3641;3009.0044;3.014564;1.419631;59.7980;44049.553
$Tacheo;1007.4904;1941.3630;3009.0081;3.014538;1.419573;59.7998;44049.657
$Tacheo;1007.4935;1941.3604;3009.0157;3.014492;1.419455;59.8039;44049.763
$Tacheo;1007.4983;1941.3554;3009.0226;3.014423;1.419355;59.8105;44049.876
$Tacheo;1007.5004;1941.3517;3009.0292;3.014396;1.419256;59.8154;44049.983
$GNSS;46.77995117;6.66174899;507.685;44050.000;2540671.216;1181270.076;457.917
$Tacheo;1007.5030;1941.3481;3009.0355;3.014360;1.419161;59.8202;44050.041
$Tacheo;1007.5056;1941.3447;3009.0431;3.014324;1.419045;59.8250;44050.133
$Tacheo;1007.5083;1941.3422;3009.0521;3.014283;1.418903;59.8291;44050.241
$Tacheo;1007.5143;1941.3414;3009.0652;3.014185;1.418691;59.8326;44050.347
$Tacheo;1007.5190;1941.3424;3009.0700;3.014104;1.418611;59.8330;44050.453
$GNSS;46.77995106;6.66174938;507.759;44050.500;2540671.246;1181270.063;457.991
$Tacheo;1007.5214;1941.3431;3009.0759;3.014062;1.418512;59.8335;44050.548
$Tacheo;1007.5235;1941.3431;3009.0806;3.014026;1.418435;59.8345;44050.652
$Tacheo;1007.5250;1941.3404;3009.0908;3.014007;1.418275;59.8388;44050.745
$Tacheo;1007.5252;1941.3329;3009.0975;3.014020;1.418183;59.8472;44050.850
$Tacheo;1007.5240;1941.3259;3009.1035;3.014055;1.418100;59.8549;44050.956
$GNSS;46.77995122;6.66174955;507.777;44051.000;2540671.259;1181270.081;458.009
$Tacheo;1007.5209;1941.3172;3009.1136;3.014126;1.417955;59.8646;44051.047
$Tacheo;1007.5152;1941.2983;3009.1340;3.014261;1.417664;59.8855;44051.173
$Tacheo;1007.5064;1941.2715;3009.1556;3.014467;1.417372;59.9139;44051.280
$Tacheo;1007.5016;1941.2515;3009.1632;3.014589;1.417297;59.9341;44051.386
$Tacheo;1007.4915;1941.2196;3009.1673;3.014827;1.417306;59.9648;44051.492
$GNSS;46.77995071;6.66175033;507.846;44051.500;2540671.318;1181270.024;458.078
$Tacheo;1007.4873;1941.2098;3009.1682;3.014919;1.417315;59.9740;44051.555
$Tacheo;1007.4792;1941.1896;3009.1729;3.015097;1.417286;59.9935;44051.661
$Tacheo;1007.4657;1941.1536;3009.1829;3.015399;1.417207;60.0286;44051.767
$Tacheo;1007.4587;1941.1385;3009.1875;3.015548;1.417168;60.0433;44051.872
$Tacheo;1007.4482;1941.1184;3009.2007;3.015766;1.416999;60.0637;44051.981
$GNSS;46.77994930;6.66175115;507.879;44052.000;2540671.379;1181269.866;458.111
$Tacheo;1007.4438;1941.1120;3009.2055;3.015854;1.416934;60.0702;44052.045
$Tacheo;1007.4359;1941.0993;3009.2158;3.016012;1.416794;60.0832;44052.152
$Tacheo;1007.4195;1941.0746;3009.2408;3.016339;1.416441;60.1092;44052.261
$Tacheo;1007.4128;1941.0617;3009.2538;3.016478;1.416258;60.1230;44052.364
$Tacheo;1007.4022;1941.0418;3009.2713;3.016696;1.416017;60.1440;44052.471
$GNSS;46.77994864;6.66175144;507.948;44052.500;2540671.401;1181269.793;458.180
$Tacheo;1007.3996;1941.0358;3009.2763;3.016752;1.415949;60.1503;44052.548
$Tacheo;1007.3945;1941.0234;3009.2846;3.016864;1.415843;60.1631;44052.653
$Tacheo;1007.3867;1941.0071;3009.2911;3.017028;1.415776;60.1791;44052.759
$Tacheo;1007.3821;1940.9988;3009.2960;3.017122;1.415715;60.1874;44052.864
$Tacheo;1007.3799;1940.9922;3009.3006;3.017172;1.415656;60.1944;44052.970
