$Tacheo; Xlocal (m); Ylocal (m); Zlocal (m); Hz (rad); V (rad); di (m); False T_GNSS (s)
OR
$GNSS; lat (degrees); lon (degrees); alt_ellips (m); True T_GNSS (s); Xmn95; Ymn95; H RAN95 
$GNSS;46.78013482;6.66114189;498.289;44006.500;2540625.058;1181290.951;448.520
$Tacheo;993.3977;1990.0190;2999.6059;3.726001;1.603719;11.9744;44006.545
$Tacheo;993.3977;1990.0190;2999.6058;3.726002;1.603723;11.9743;44006.653
$Tacheo;993.3976;1990.0189;2999.6059;3.726005;1.603719;11.9745;44006.757
$Tacheo;993.3976;1990.0189;2999.6059;3.725999;1.603719;11.9745;44006.862
$Tacheo;993.3978;1990.0192;2999.6059;3.726002;1.603720;11.9741;44006.969
$GNSS;46.78013479;6.66114188;498.292;44007.000;2540625.057;1181290.948;448.523
$Tacheo;993.3977;1990.0189;2999.6058;3.725997;1.603722;11.9744;44007.050
$Tacheo;993.3977;1990.0189;2999.6058;3.725995;1.603722;11.9744;44007.156
$Tacheo;993.3977;1990.0190;2999.6059;3.726002;1.603719;11.9744;44007.264
$Tacheo;993.3977;1990.0189;2999.6059;3.725994;1.603719;11.9744;44007.368
$Tacheo;993.3977;1990.0188;2999.6059;3.725993;1.603720;11.9745;44007.476
$GNSS;46.78013477;6.66114188;498.293;44007.500;2540625.057;1181290.946;448.524
$Tacheo;993.3978;1990.0190;2999.6059;3.725998;1.603720;11.9743;44007.541
$Tacheo;993.3977;1990.0189;2999.6059;3.725997;1.603715;11.9744;44007.635
$Tacheo;993.3977;1990.0190;2999.6059;3.726001;1.603718;11.9743;44007.742
$Tacheo;993.3976;1990.0189;2999.6059;3.726002;1.603717;11.9745;44007.847
$Tacheo;993.3976;1990.0188;2999.6059;3.725999;1.603712;11.9746;44007.955
$GNSS;46.78013479;6.66114187;498.292;44008.000;2540625.057;1181290.948;448.523
$Tacheo;993.3977;1990.0190;2999.6059;3.726000;1.603714;11.9743;44008.041
$Tacheo;993.3976;1990.0188;2999.6059;3.725997;1.603713;11.9745;44008.147
$Tacheo;993.3976;1990.0189;2999.6060;3.726000;1.603711;11.9745;44008.253
