$Tacheo; Xlocal (m); Ylocal (m); Zlocal (m); Hz (rad); V (rad); di (m); False T_GNSS (s)
OR
$GNSS; lat (degrees); lon (degrees); alt_ellips (m); True T_GNSS (s); Xmn95; Ymn95; H RAN95 
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604454;11.9470;1638198613.862
$Tacheo;1003.1575;1988.4856;2999.5980;2.873951;1.604455;11.9470;1638198613.968
$Tacheo;1003.1575;1988.4856;2999.5979;2.873947;1.604458;11.9470;1638198614.074
$Tacheo;1003.1574;1988.4857;2999.5980;2.873952;1.604457;11.9469;1638198614.180
$GNSS;46.78013466;6.66113991;498.265;44576.000;2540624.907;1181290.935;448.496
$Tacheo;1003.1575;1988.4856;2999.5980;2.873950;1.604456;11.9470;44576.046
$Tacheo;1003.1574;1988.4857;2999.5980;2.873953;1.604457;11.9469;44576.139
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604456;11.9470;44576.245
$Tacheo;1003.1575;1988.4857;2999.5980;2.873947;1.604457;11.9469;44576.351
$Tacheo;1003.1575;1988.4855;2999.5980;2.873952;1.604455;11.9471;44576.458
$GNSS;46.78013465;6.66113991;498.266;44576.500;2540624.907;1181290.934;448.497
$Tacheo;1003.1575;1988.4855;2999.5980;2.873950;1.604451;11.9471;44576.540
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604451;11.9470;44576.647
$Tacheo;1003.1574;1988.4857;2999.5980;2.873954;1.604456;11.9469;44576.754
$Tacheo;1003.1575;1988.4856;2999.5980;2.873949;1.604451;11.9470;44576.861
$Tacheo;1003.1574;1988.4856;2999.5980;2.873954;1.604455;11.9470;44576.968
$GNSS;46.78013464;6.66113990;498.263;44577.000;2540624.906;1181290.933;448.494
$Tacheo;1003.1576;1988.4857;2999.5980;2.873944;1.604455;11.9470;44577.052
$Tacheo;1003.1575;1988.4856;2999.5980;2.873945;1.604453;11.9470;44577.145
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604456;11.9470;44577.253
$Tacheo;1003.1575;1988.4856;2999.5980;2.873951;1.604456;11.9470;44577.347
$Tacheo;1003.1574;1988.4858;2999.5979;2.873951;1.604459;11.9468;44577.453
$GNSS;46.78013463;6.66113992;498.262;44577.500;2540624.907;1181290.932;448.493
$Tacheo;1003.1576;1988.4856;2999.5980;2.873942;1.604453;11.9471;44577.552
$Tacheo;1003.1574;1988.4856;2999.5979;2.873955;1.604460;11.9470;44577.670
$Tacheo;1003.1576;1988.4857;2999.5980;2.873944;1.604454;11.9470;44577.773
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604459;11.9469;44577.863
$Tacheo;1003.1576;1988.4857;2999.5979;2.873942;1.604458;11.9470;44577.972
$GNSS;46.78013464;6.66113992;498.263;44578.000;2540624.908;1181290.933;448.494
$Tacheo;1003.1576;1988.4857;2999.5980;2.873943;1.604456;11.9470;44578.048
$Tacheo;1003.1576;1988.4855;2999.5980;2.873947;1.604455;11.9471;44578.141
$Tacheo;1003.1576;1988.4857;2999.5980;2.873942;1.604455;11.9470;44578.248
$Tacheo;1003.1575;1988.4857;2999.5980;2.873950;1.604456;11.9469;44578.355
$Tacheo;1003.1575;1988.4856;2999.5979;2.873947;1.604460;11.9470;44578.461
$GNSS;46.78013465;6.66113996;498.266;44578.500;2540624.911;1181290.934;448.497
$Tacheo;1003.1575;1988.4857;2999.5979;2.873947;1.604464;11.9469;44578.549
$Tacheo;1003.1575;1988.4856;2999.5979;2.873952;1.604458;11.9470;44578.658
$Tacheo;1003.1575;1988.4857;2999.5980;2.873951;1.604454;11.9469;44578.765
$Tacheo;1003.1575;1988.4856;2999.5980;2.873952;1.604455;11.9470;44578.873
$Tacheo;1003.1575;1988.4857;2999.5980;2.873948;1.604450;11.9469;44578.991
$GNSS;46.78013465;6.66113995;498.266;44579.000;2540624.910;1181290.934;448.497
$Tacheo;1003.1575;1988.4857;2999.5980;2.873950;1.604455;11.9469;44579.049
$Tacheo;1003.1575;1988.4856;2999.5980;2.873951;1.604453;11.9470;44579.154
$Tacheo;1003.1575;1988.4856;2999.5980;2.873951;1.604454;11.9470;44579.263
$Tacheo;1003.1575;1988.4857;2999.5980;2.873951;1.604450;11.9469;44579.368
$Tacheo;1003.1574;1988.4856;2999.5980;2.873956;1.604454;11.9470;44579.474
$GNSS;46.78013466;6.66113994;498.265;44579.500;2540624.909;1181290.935;448.496
$Tacheo;1003.1575;1988.4855;2999.5980;2.873951;1.604451;11.9471;44579.548
$Tacheo;1003.1574;1988.4857;2999.5980;2.873952;1.604455;11.9469;44579.642
$Tacheo;1003.1574;1988.4856;2999.5979;2.873956;1.604460;11.9470;44579.749
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604461;11.9469;44579.855
$Tacheo;1003.1574;1988.4856;2999.5979;2.873956;1.604459;11.9470;44579.961
$GNSS;46.78013466;6.66113993;498.265;44580.000;2540624.908;1181290.935;448.496
$Tacheo;1003.1576;1988.4856;2999.5979;2.873946;1.604459;11.9471;44580.041
