$Tacheo; Xlocal (m); Ylocal (m); Zlocal (m); Hz (rad); V (rad); di (m); False T_GNSS (s)
$Tacheo;1003.1573;1988.4858;2999.5980;2.873961;1.604456;11.9468;44580.150
$Tacheo;1003.1576;1988.4854;2999.5980;2.873949;1.604451;11.9472;44580.257
$Tacheo;1003.1574;1988.4857;2999.5979;2.873954;1.604459;11.9469;44580.363
$Tacheo;1003.1575;1988.4857;2999.5980;2.873946;1.604456;11.9469;44580.469
$GNSS;46.78013465;6.66113993;498.267;44580.500;2540624.908;1181290.934;448.498
$Tacheo;1003.1574;1988.4856;2999.5979;2.873961;1.604461;11.9470;44580.539
$Tacheo;1003.1575;1988.4855;2999.5980;2.873952;1.604456;11.9471;44580.630
$Tacheo;1003.1574;1988.4857;2999.5980;2.873952;1.604457;11.9469;44580.737
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604456;11.9470;44580.844
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604452;11.9470;44580.947
$Tacheo;1003.1576;1988.4856;2999.5979;2.873946;1.604458;11.9471;44581.045
$GNSS;46.78013461;6.66113989;498.268;44581.000;2540624.905;1181290.929;448.499
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604458;11.9469;44581.051
$Tacheo;1003.1576;1988.4855;2999.5980;2.873947;1.604452;11.9471;44581.157
$Tacheo;1003.1575;1988.4856;2999.5980;2.873946;1.604453;11.9470;44581.264
$Tacheo;1003.1574;1988.4855;2999.5980;2.873956;1.604455;11.9471;44581.371
$Tacheo;1003.1576;1988.4855;2999.5980;2.873947;1.604455;11.9471;44581.477
$GNSS;46.78013462;6.66113991;498.269;44581.500;2540624.907;1181290.931;448.500
$Tacheo;1003.1575;1988.4856;2999.5980;2.873952;1.604455;11.9470;44581.550
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604456;11.9470;44581.659
$Tacheo;1003.1575;1988.4857;2999.5979;2.873949;1.604460;11.9469;44581.779
$Tacheo;1003.1575;1988.4857;2999.5980;2.873948;1.604456;11.9469;44581.875
$Tacheo;1003.1574;1988.4857;2999.5980;2.873954;1.604457;11.9469;44581.981
$GNSS;46.78013460;6.66113992;498.274;44582.000;2540624.907;1181290.928;448.505
$Tacheo;1003.1575;1988.4855;2999.5979;2.873949;1.604458;11.9471;44582.048
$Tacheo;1003.1576;1988.4857;2999.5979;2.873943;1.604460;11.9470;44582.140
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604460;11.9469;44582.246
$Tacheo;1003.1575;1988.4857;2999.5979;2.873947;1.604460;11.9469;44582.355
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604455;11.9470;44582.461
$GNSS;46.78013467;6.66113990;498.276;44582.500;2540624.906;1181290.936;448.507
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604460;11.9469;44582.549
$Tacheo;1003.1575;1988.4857;2999.5979;2.873945;1.604459;11.9470;44582.653
$Tacheo;1003.1575;1988.4856;2999.5980;2.873953;1.604457;11.9470;44582.763
$Tacheo;1003.1575;1988.4857;2999.5980;2.873947;1.604454;11.9469;44582.870
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604460;11.9469;44582.976
$GNSS;46.78013463;6.66113989;498.274;44583.000;2540624.905;1181290.932;448.505
$Tacheo;1003.1575;1988.4857;2999.5979;2.873947;1.604460;11.9469;44583.045
$Tacheo;1003.1576;1988.4857;2999.5980;2.873943;1.604456;11.9470;44583.151
$Tacheo;1003.1575;1988.4857;2999.5979;2.873944;1.604458;11.9469;44583.254
$Tacheo;1003.1575;1988.4856;2999.5980;2.873950;1.604455;11.9470;44583.346
$Tacheo;1003.1576;1988.4857;2999.5979;2.873941;1.604458;11.9470;44583.452
$GNSS;46.78013459;6.66113995;498.274;44583.500;2540624.910;1181290.927;448.505
$Tacheo;1003.1575;1988.4856;2999.5980;2.873948;1.604452;11.9470;44583.555
$Tacheo;1003.1575;1988.4857;2999.5980;2.873947;1.604457;11.9469;44583.661
$Tacheo;1003.1574;1988.4856;2999.5980;2.873957;1.604457;11.9470;44583.769
$Tacheo;1003.1575;1988.4857;2999.5979;2.873947;1.604464;11.9469;44583.875
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604463;11.9469;44583.981
$GNSS;46.78013463;6.66113996;498.270;44584.000;2540624.911;1181290.932;448.501
$Tacheo;1003.1575;1988.4856;2999.5979;2.873948;1.604458;11.9470;44584.043
$Tacheo;1003.1576;1988.4857;2999.5979;2.873942;1.604458;11.9470;44584.152
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604458;11.9469;44584.258
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604458;11.9469;44584.365
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604462;11.9469;44584.473
$GNSS;46.78013462;6.66113997;498.267;44584.500;2540624.911;1181290.930;448.498
$Tacheo;1003.1574;1988.4857;2999.5980;2.873952;1.604457;11.9469;44584.558
$Tacheo;1003.1574;1988.4858;2999.5979;2.873951;1.604461;11.9468;44584.664
$Tacheo;1003.1574;1988.4858;2999.5979;2.873953;1.604463;11.9468;44584.771
$Tacheo;1003.1574;1988.4858;2999.5979;2.873953;1.604463;11.9468;44584.876
$Tacheo;1003.1574;1988.4857;2999.5979;2.873959;1.604461;11.9469;44584.983
$GNSS;46.78013464;6.66113991;498.265;44585.000;2540624.907;1181290.933;448.496
$Tacheo;1003.1575;1988.4857;2999.5979;2.873945;1.604460;11.9469;44585.040
$Tacheo;1003.1574;1988.4857;2999.5979;2.873959;1.604460;11.9469;44585.132
$Tacheo;1003.1574;1988.4858;2999.5979;2.873951;1.604461;11.9468;44585.239
$Tacheo;1003.1573;1988.4859;2999.5979;2.873958;1.604461;11.9467;44585.345
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604465;11.9469;44585.454
$GNSS;46.78013464;6.66113994;498.263;44585.500;2540624.909;1181290.933;448.494
$Tacheo;1003.1574;1988.4857;2999.5980;2.873957;1.604455;11.9469;44585.544
$Tacheo;1003.1574;1988.4858;2999.5979;2.873956;1.604463;11.9468;44585.651
$Tacheo;1003.1574;1988.4857;2999.5980;2.873952;1.604454;11.9469;44585.770
$Tacheo;1003.1575;1988.4858;2999.5979;2.873947;1.604459;11.9468;44585.877
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604460;11.9469;44585.984
$GNSS;46.78013467;6.66113991;498.262;44586.000;2540624.907;1181290.936;448.493
$Tacheo;1003.1573;1988.4858;2999.5979;2.873962;1.604465;11.9468;44586.051
$Tacheo;1003.1575;1988.4856;2999.5979;2.873951;1.604460;11.9470;44586.149
$Tacheo;1003.1573;1988.4858;2999.5979;2.873959;1.604461;11.9468;44586.256
$Tacheo;1003.1574;1988.4858;2999.5979;2.873950;1.604459;11.9468;44586.362
$Tacheo;1003.1574;1988.4858;2999.5979;2.873955;1.604459;11.9468;44586.465
$GNSS;46.78013463;6.66113994;498.262;44586.500;2540624.909;1181290.932;448.493
$Tacheo;1003.1573;1988.4859;2999.5979;2.873961;1.604462;11.9467;44586.553
$Tacheo;1003.1574;1988.4858;2999.5979;2.873950;1.604460;11.9468;44586.663
$Tacheo;1003.1573;1988.4858;2999.5979;2.873961;1.604460;11.9468;44586.767
$Tacheo;1003.1574;1988.4857;2999.5979;2.873957;1.604461;11.9469;44586.875
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604464;11.9469;44586.981
$GNSS;46.78013464;6.66113995;498.271;44587.000;2540624.910;1181290.933;448.502
$Tacheo;1003.1573;1988.4859;2999.5979;2.873962;1.604464;11.9467;44587.041
$Tacheo;1003.1573;1988.4859;2999.5979;2.873958;1.604464;11.9467;44587.137
$Tacheo;1003.1573;1988.4858;2999.5979;2.873966;1.604463;11.9468;44587.245
$Tacheo;1003.1573;1988.4858;2999.5979;2.873961;1.604463;11.9468;44587.347
$Tacheo;1003.1573;1988.4859;2999.5978;2.873957;1.604468;11.9467;44587.443
$GNSS;46.78013471;6.66113990;498.274;44587.500;2540624.906;1181290.941;448.505
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604459;11.9469;44587.553
$Tacheo;1003.1574;1988.4858;2999.5979;2.873957;1.604463;11.9468;44587.657
$Tacheo;1003.1574;1988.4857;2999.5979;2.873952;1.604462;11.9469;44587.761
$Tacheo;1003.1573;1988.4859;2999.5979;2.873956;1.604463;11.9467;44587.867
$Tacheo;1003.1574;1988.4858;2999.5979;2.873957;1.604460;11.9468;44587.975
$GNSS;46.78013462;6.66113992;498.268;44588.000;2540624.907;1181290.931;448.499
$Tacheo;1003.1573;1988.4857;2999.5979;2.873961;1.604461;11.9469;44588.055
$Tacheo;1003.1574;1988.4857;2999.5979;2.873957;1.604459;11.9469;44588.159
$Tacheo;1003.1574;1988.4857;2999.5979;2.873958;1.604459;11.9469;44588.266
$Tacheo;1003.1573;1988.4858;2999.5979;2.873963;1.604459;11.9468;44588.373
$Tacheo;1003.1574;1988.4857;2999.5979;2.873957;1.604460;11.9469;44588.480
$GNSS;46.78013470;6.66113991;498.265;44588.500;2540624.907;1181290.939;448.496
$Tacheo;1003.1573;1988.4859;2999.5979;2.873956;1.604464;11.9467;44588.556
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604460;11.9469;44588.664
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604460;11.9469;44588.770
$Tacheo;1003.1575;1988.4856;2999.5979;2.873947;1.604460;11.9470;44588.872
$Tacheo;1003.1574;1988.4858;2999.5979;2.873950;1.604460;11.9468;44588.967
$GNSS;46.78013463;6.66113995;498.263;44589.000;2540624.910;1181290.932;448.494
$Tacheo;1003.1576;1988.4857;2999.5980;2.873940;1.604455;11.9470;44589.048
$Tacheo;1003.1574;1988.4858;2999.5979;2.873952;1.604460;11.9468;44589.155
$Tacheo;1003.1575;1988.4858;2999.5979;2.873948;1.604461;11.9468;44589.260
$Tacheo;1003.1574;1988.4858;2999.5979;2.873950;1.604459;11.9468;44589.366
$Tacheo;1003.1575;1988.4856;2999.5979;2.873947;1.604460;11.9470;44589.473
$GNSS;46.78013462;6.66113993;498.259;44589.500;2540624.908;1181290.931;448.490
$Tacheo;1003.1573;1988.4859;2999.5979;2.873956;1.604461;11.9467;44589.547
$Tacheo;1003.1574;1988.4858;2999.5979;2.873956;1.604466;11.9468;44589.655
$Tacheo;1003.1574;1988.4858;2999.5980;2.873950;1.604458;11.9468;44589.761
$Tacheo;1003.1575;1988.4857;2999.5979;2.873949;1.604459;11.9469;44589.865
$Tacheo;1003.1574;1988.4858;2999.5980;2.873950;1.604458;11.9468;44589.972
$GNSS;46.78013462;6.66113995;498.256;44590.000;2540624.910;1181290.930;448.487
$Tacheo;1003.1575;1988.4857;2999.5980;2.873948;1.604457;11.9469;44590.044
$Tacheo;1003.1574;1988.4858;2999.5979;2.873954;1.604466;11.9468;44590.152
$Tacheo;1003.1574;1988.4858;2999.5979;2.873954;1.604462;11.9468;44590.258
$Tacheo;1003.1573;1988.4857;2999.5979;2.873960;1.604463;11.9469;44590.364
$Tacheo;1003.1574;1988.4858;2999.5979;2.873951;1.604462;11.9468;44590.470
$GNSS;46.78013462;6.66113996;498.259;44590.500;2540624.911;1181290.930;448.490
$Tacheo;1003.1574;1988.4858;2999.5979;2.873955;1.604462;11.9468;44590.546
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604458;11.9469;44590.653
$Tacheo;1003.1573;1988.4858;2999.5979;2.873961;1.604462;11.9468;44590.761
$Tacheo;1003.1576;1988.4858;2999.5980;2.873942;1.604455;11.9469;44590.868
$Tacheo;1003.1574;1988.4858;2999.5979;2.873954;1.604465;11.9468;44590.975
$GNSS;46.78013461;6.66113994;498.264;44591.000;2540624.909;1181290.929;448.495
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604462;11.9469;44591.046
$Tacheo;1003.1574;1988.4858;2999.5979;2.873956;1.604462;11.9468;44591.152
$Tacheo;1003.1575;1988.4858;2999.5979;2.873948;1.604459;11.9468;44591.261
$Tacheo;1003.1575;1988.4860;2999.5979;2.873942;1.604466;11.9466;44591.369
$Tacheo;1003.1573;1988.4859;2999.5978;2.873960;1.604467;11.9467;44591.474
$GNSS;46.78013462;6.66113995;498.268;44591.500;2540624.910;1181290.930;448.499
$Tacheo;1003.1575;1988.4858;2999.5979;2.873946;1.604463;11.9468;44591.547
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604462;11.9469;44591.652
$Tacheo;1003.1576;1988.4857;2999.5979;2.873942;1.604461;11.9470;44591.747
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604462;11.9469;44591.855
$Tacheo;1003.1575;1988.4858;2999.5980;2.873943;1.604457;11.9469;44591.962
$GNSS;46.78013462;6.66113993;498.274;44592.000;2540624.908;1181290.931;448.505
$Tacheo;1003.1575;1988.4858;2999.5979;2.873944;1.604459;11.9468;44592.048
$Tacheo;1003.1576;1988.4858;2999.5980;2.873939;1.604452;11.9469;44592.159
$Tacheo;1003.1575;1988.4858;2999.5979;2.873946;1.604459;11.9468;44592.265
$Tacheo;1003.1576;1988.4858;2999.5980;2.873941;1.604457;11.9469;44592.371
$Tacheo;1003.1574;1988.4858;2999.5980;2.873951;1.604458;11.9468;44592.478
$GNSS;46.78013461;6.66113992;498.274;44592.500;2540624.907;1181290.929;448.505
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604461;11.9469;44592.549
$Tacheo;1003.1575;1988.4857;2999.5980;2.873946;1.604457;11.9469;44592.653
$Tacheo;1003.1576;1988.4858;2999.5980;2.873939;1.604457;11.9469;44592.760
$Tacheo;1003.1575;1988.4858;2999.5980;2.873943;1.604457;11.9469;44592.867
$Tacheo;1003.1576;1988.4858;2999.5979;2.873941;1.604460;11.9469;44592.971
$GNSS;46.78013462;6.66113995;498.274;44593.000;2540624.910;1181290.930;448.505
$Tacheo;1003.1576;1988.4858;2999.5980;2.873942;1.604457;11.9469;44593.053
$Tacheo;1003.1575;1988.4857;2999.5980;2.873950;1.604457;11.9469;44593.160
$Tacheo;1003.1576;1988.4858;2999.5980;2.873941;1.604453;11.9469;44593.267
$Tacheo;1003.1575;1988.4858;2999.5979;2.873946;1.604462;11.9468;44593.374
$Tacheo;1003.1576;1988.4857;2999.5980;2.873941;1.604457;11.9470;44593.480
$GNSS;46.78013463;6.66113992;498.276;44593.500;2540624.907;1181290.932;448.507
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604458;11.9469;44593.541
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604462;11.9469;44593.631
$Tacheo;1003.1575;1988.4858;2999.5979;2.873947;1.604462;11.9468;44593.723
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604459;11.9469;44593.831
$Tacheo;1003.1575;1988.4855;2999.5979;2.873949;1.604464;11.9471;44593.937
$GNSS;46.78013464;6.66113993;498.268;44594.000;2540624.908;1181290.933;448.499
$Tacheo;1003.1575;1988.4857;2999.5979;2.873948;1.604462;11.9469;44594.043
$Tacheo;1003.1576;1988.4857;2999.5980;2.873939;1.604455;11.9470;44594.152
$Tacheo;1003.1575;1988.4857;2999.5980;2.873950;1.604457;11.9469;44594.259
$Tacheo;1003.1575;1988.4858;2999.5979;2.873946;1.604461;11.9468;44594.365
$Tacheo;1003.1576;1988.4858;2999.5980;2.873941;1.604457;11.9469;44594.467
$GNSS;46.78013464;6.66113992;498.265;44594.500;2540624.908;1181290.933;448.496
$Tacheo;1003.1575;1988.4856;2999.5979;2.873946;1.604462;11.9470;44594.552
$Tacheo;1003.1576;1988.4857;2999.5980;2.873937;1.604457;11.9470;44594.642
$Tacheo;1003.1575;1988.4857;2999.5979;2.873950;1.604458;11.9469;44594.750
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604458;11.9469;44594.846
$Tacheo;1003.1575;1988.4857;2999.5979;2.873948;1.604462;11.9469;44594.953
$GNSS;46.78013466;6.66113993;498.266;44595.000;2540624.908;1181290.935;448.497
$Tacheo;1003.1575;1988.4857;2999.5979;2.873949;1.604460;11.9469;44595.051
$Tacheo;1003.1574;1988.4857;2999.5979;2.873953;1.604458;11.9469;44595.161
$Tacheo;1003.1574;1988.4857;2999.5980;2.873952;1.604457;11.9469;44595.268
$Tacheo;1003.1574;1988.4858;2999.5980;2.873951;1.604458;11.9468;44595.374
$Tacheo;1003.1574;1988.4858;2999.5979;2.873951;1.604466;11.9468;44595.481
$GNSS;46.78013463;6.66113993;498.260;44595.500;2540624.908;1181290.932;448.491
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604462;11.9469;44595.555
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604458;11.9469;44595.663
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604459;11.9469;44595.769
$Tacheo;1003.1575;1988.4857;2999.5979;2.873948;1.604459;11.9469;44595.875
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604462;11.9469;44595.983
$GNSS;46.78013466;6.66113995;498.261;44596.000;2540624.910;1181290.935;448.492
$Tacheo;1003.1575;1988.4857;2999.5979;2.873948;1.604460;11.9469;44596.043
$Tacheo;1003.1575;1988.4856;2999.5979;2.873946;1.604462;11.9470;44596.149
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604460;11.9469;44596.254
$Tacheo;1003.1575;1988.4857;2999.5979;2.873946;1.604459;11.9469;44596.362
$Tacheo;1003.1575;1988.4856;2999.5979;2.873946;1.604460;11.9470;44596.469
$GNSS;46.78013468;6.66113996;498.260;44596.500;2540624.911;1181290.937;448.491
$Tacheo;1003.1576;1988.4856;2999.5979;2.873940;1.604459;11.9471;44596.556
$Tacheo;1003.1575;1988.4856;2999.5980;2.873946;1.604454;11.9470;44596.660
$Tacheo;1003.1576;1988.4858;2999.5979;2.873942;1.604462;11.9469;44596.753
$Tacheo;1003.1575;1988.4856;2999.5980;2.873947;1.604455;11.9470;44596.860
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604458;11.9469;44596.967
$GNSS;46.78013465;6.66113995;498.262;44597.000;2540624.910;1181290.934;448.493
$Tacheo;1003.1575;1988.4856;2999.5979;2.873948;1.604462;11.9470;44597.046
$Tacheo;1003.1575;1988.4856;2999.5980;2.873946;1.604457;11.9470;44597.155
$Tacheo;1003.1575;1988.4857;2999.5979;2.873949;1.604460;11.9469;44597.258
$Tacheo;1003.1575;1988.4856;2999.5979;2.873948;1.604462;11.9470;44597.350
$Tacheo;1003.1574;1988.4857;2999.5979;2.873953;1.604462;11.9469;44597.457
$GNSS;46.78013465;6.66113997;498.263;44597.500;2540624.911;1181290.934;448.494
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604462;11.9469;44597.554
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604458;11.9469;44597.661
$Tacheo;1003.1575;1988.4857;2999.5979;2.873947;1.604458;11.9469;44597.766
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604465;11.9469;44597.873
$Tacheo;1003.1574;1988.4857;2999.5979;2.873953;1.604462;11.9469;44597.979
$GNSS;46.78013465;6.66113996;498.263;44598.000;2540624.911;1181290.934;448.494
$Tacheo;1003.1574;1988.4857;2999.5980;2.873958;1.604457;11.9469;44598.050
$Tacheo;1003.1574;1988.4856;2999.5979;2.873956;1.604459;11.9470;44598.157
$Tacheo;1003.1574;1988.4857;2999.5980;2.873953;1.604455;11.9469;44598.265
$Tacheo;1003.1574;1988.4857;2999.5980;2.873955;1.604457;11.9469;44598.370
$Tacheo;1003.1575;1988.4856;2999.5979;2.873951;1.604461;11.9470;44598.475
$GNSS;46.78013467;6.66114000;498.264;44598.500;2540624.914;1181290.936;448.495
$Tacheo;1003.1574;1988.4856;2999.5979;2.873960;1.604458;11.9470;44598.558
$Tacheo;1003.1575;1988.4857;2999.5980;2.873950;1.604457;11.9469;44598.662
$Tacheo;1003.1574;1988.4857;2999.5979;2.873955;1.604460;11.9469;44598.755
$Tacheo;1003.1574;1988.4857;2999.5979;2.873953;1.604459;11.9469;44598.855
$Tacheo;1003.1574;1988.4858;2999.5979;2.873954;1.604461;11.9468;44598.961
$GNSS;46.78013467;6.66113996;498.267;44599.000;2540624.911;1181290.936;448.498
$Tacheo;1003.1575;1988.4856;2999.5979;2.873951;1.604462;11.9470;44599.052
$Tacheo;1003.1575;1988.4857;2999.5979;2.873951;1.604462;11.9469;44599.170
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604462;11.9469;44599.276
$Tacheo;1003.1574;1988.4856;2999.5980;2.873958;1.604455;11.9470;44599.382
$Tacheo;1003.1574;1988.4857;2999.5979;2.873955;1.604462;11.9469;44599.490
$GNSS;46.78013466;6.66114000;498.268;44599.500;2540624.914;1181290.935;448.499
$Tacheo;1003.1574;1988.4857;2999.5978;2.873955;1.604467;11.9469;44599.550
$Tacheo;1003.1575;1988.4857;2999.5980;2.873951;1.604457;11.9469;44599.645
$Tacheo;1003.1574;1988.4857;2999.5980;2.873955;1.604457;11.9469;44599.751
$Tacheo;1003.1575;1988.4856;2999.5979;2.873946;1.604462;11.9470;44599.859
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604458;11.9469;44599.964
$GNSS;46.78013463;6.66113993;498.263;44600.000;2540624.908;1181290.932;448.494
$Tacheo;1003.1574;1988.4857;2999.5980;2.873957;1.604457;11.9469;44600.049
$Tacheo;1003.1574;1988.4857;2999.5980;2.873958;1.604457;11.9469;44600.157
$Tacheo;1003.1574;1988.4857;2999.5979;2.873958;1.604459;11.9469;44600.266
$Tacheo;1003.1573;1988.4857;2999.5980;2.873960;1.604453;11.9469;44600.371
$Tacheo;1003.1574;1988.4856;2999.5979;2.873959;1.604458;11.9470;44600.479
$GNSS;46.78013469;6.66113990;498.266;44600.500;2540624.906;1181290.938;448.497
$Tacheo;1003.1574;1988.4857;2999.5980;2.873955;1.604457;11.9469;44600.553
$Tacheo;1003.1573;1988.4857;2999.5979;2.873960;1.604462;11.9469;44600.659
$Tacheo;1003.1574;1988.4856;2999.5980;2.873960;1.604457;11.9470;44600.767
$Tacheo;1003.1573;1988.4857;2999.5980;2.873960;1.604457;11.9469;44600.871
$Tacheo;1003.1574;1988.4855;2999.5979;2.873956;1.604459;11.9471;44600.977
$GNSS;46.78013465;6.66113993;498.263;44601.000;2540624.908;1181290.934;448.494
$Tacheo;1003.1573;1988.4857;2999.5980;2.873960;1.604457;11.9469;44601.044
$Tacheo;1003.1574;1988.4856;2999.5980;2.873960;1.604457;11.9470;44601.168
$Tacheo;1003.1573;1988.4858;2999.5979;2.873960;1.604462;11.9468;44601.273
